,mono,pdc,cdc
326,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_24H_UP,GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE18281_SUBCAPSULAR_VS_CENTRAL_CORTICAL_REGION_OF_THYMUS_UP
327,GSE37416_CTRL_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP
328,GSE17721_POLYIC_VS_GARDIQUIMOD_16H_BMDC_UP,GSE15659_NAIVE_VS_PTPRC_NEG_CD4_TCELL_UP,GSE17721_CTRL_VS_POLYIC_8H_BMDC_UP
329,GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS,GSE37301_LYMPHOID_PRIMED_MPP_VS_CD4_TCELL_UP,GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY
330,GSE5542_UNTREATED_VS_IFNG_TREATED_EPITHELIAL_CELLS_24H_UP,GSE17721_POLYIC_VS_PAM3CSK4_0.5H_BMDC_UP,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_8H_UP
331,GSE22601_IMMATURE_CD4_SINGLE_POSITIVE_VS_CD8_SINGLE_POSITIVE_THYMOCYTE_UP,GSE2770_IL12_VS_IL4_TREATED_ACT_CD4_TCELL_6H_UP,GSE2826_WT_VS_BTK_KO_BCELL_UP
332,GSE27786_CD4_VS_CD8_TCELL_UP,GSE1460_CORD_VS_ADULT_BLOOD_NAIVE_CD4_TCELL_UP,GSE43955_1H_VS_20H_ACT_CD4_TCELL_UP
333,GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP,GSE18281_CORTEX_VS_MEDULLA_THYMUS_UP,GSE12366_GC_VS_NAIVE_BCELL_UP
334,GSE360_L_MAJOR_VS_B_MALAYI_LOW_DOSE_MAC_UP,GSE41867_DAY8_EFFECTOR_VS_DAY30_MEMORY_CD8_TCELL_LCMV_ARMSTRONG_UP,GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDC_UP
335,GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_48H_UP,GSE21360_NAIVE_VS_QUATERNARY_MEMORY_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_DNA_REPLICATION
336,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP,GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP,GO_POSTREPLICATION_REPAIR
337,GSE28130_ACTIVATED_VS_INDUCEED_TREG_UP,GSE21670_UNTREATED_VS_TGFB_IL6_TREATED_CD4_TCELL_UP,GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP
338,GSE15215_CD2_POS_VS_NEG_PDC_UP,GO_MEIOSIS_I,GSE37532_TREG_VS_TCONV_PPARG_KO_CD4_TCELL_FROM_VISCERAL_ADIPOSE_TISSUE_UP
339,GO_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP,GSE9601_NFKB_INHIBITOR_VS_PI3K_INHIBITOR_TREATED_HCMV_INF_MONOCYTE_UP
340,GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION,GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY7_UP
341,GSE16385_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP,GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,GSE17721_CTRL_VS_POLYIC_4H_BMDC_UP
342,GSE13411_NAIVE_VS_IGM_MEMORY_BCELL_UP,GSE27786_LSK_VS_ERYTHROBLAST_UP,GSE27786_NKCELL_VS_MONO_MAC_UP
343,GSE18893_TCONV_VS_TREG_24H_CULTURE_UP,GO_ORGANOPHOSPHATE_ESTER_TRANSPORT,GO_DNA_STRAND_ELONGATION
344,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY6_POST_IMMUNIZATION_UP,GSE9037_CTRL_VS_LPS_4H_STIM_BMDM_UP,GSE3982_MAC_VS_NKCELL_UP
345,GO_NEGATIVE_REGULATION_OF_OSSIFICATION,GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP,GSE18281_SUBCAPSULAR_VS_PERIMEDULLARY_CORTICAL_REGION_OF_THYMUS_UP
346,GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_UP,GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE,GO_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY
347,GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP,GSE5503_PLN_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION
348,GSE45365_WT_VS_IFNAR_KO_BCELL_UP,GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_CORD_BLOOD_UP,GO_FATTY_ACYL_COA_METABOLIC_PROCESS
349,GSE24142_DN2_VS_DN3_THYMOCYTE_FETAL_UP,GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP,GSE7852_THYMUS_VS_FAT_TREG_UP
350,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,GSE20366_EX_VIVO_VS_HOMEOSTATIC_CONVERSION_NAIVE_CD4_TCELL_UP,GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP
351,GSE17974_1.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GSE26351_UNSTIM_VS_WNT_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP,GSE5542_IFNG_VS_IFNA_TREATED_EPITHELIAL_CELLS_24H_UP
352,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_2H_UP,GSE22601_DOUBLE_POSITIVE_VS_CD4_SINGLE_POSITIVE_THYMOCYTE_UP,GSE17721_CTRL_VS_POLYIC_6H_BMDC_UP
353,GSE17721_POLYIC_VS_PAM3CSK4_4H_BMDC_UP,GSE9650_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE46242_CTRL_VS_EGR2_DELETED_ANERGIC_TH1_CD4_TCELL_UP
354,GO_ARACHIDONIC_ACID_METABOLIC_PROCESS,GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,GSE42021_TCONV_PLN_VS_CD24INT_TCONV_THYMUS_UP
355,GSE24210_CTRL_VS_IL35_TREATED_TCONV_CD4_TCELL_UP,GSE27859_DC_VS_CD11C_INT_F480_HI_MACROPHAGE_UP,GSE32034_LY6C_HIGH_VS_LOW_ROSIGLIZATONE_TREATED_MONOCYTE_UP
356,GO_POSITIVE_REGULATION_OF_BLOOD_CIRCULATION,GSE11961_MEMORY_BCELL_DAY7_VS_PLASMA_CELL_DAY7_UP,GSE17721_0.5H_VS_4H_CPG_BMDC_UP
357,GSE42021_TCONV_PLN_VS_CD24HI_TCONV_THYMUS_UP,GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_UP,GSE46606_IRF4_KO_VS_WT_CD40L_IL2_IL5_3DAY_STIMULATED_BCELL_UP
358,GSE17721_LPS_VS_POLYIC_4H_BMDC_UP,GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP,GSE39820_CTRL_VS_TGFBETA3_IL6_CD4_TCELL_UP
359,GO_MULTICELLULAR_ORGANISM_METABOLIC_PROCESS,GSE14308_NAIVE_CD4_TCELL_VS_NATURAL_TREG_UP,GSE5589_UNSTIM_VS_45MIN_LPS_STIM_MACROPHAGE_UP
360,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP,GSE19888_NO_PRETREAT_VS_ADENOSINE_A3R_INHIBITOR_PRETREATED_MAST_CELL_TCELL_MEMBRANES_ACT_UP,GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_UP
361,GSE24142_ADULT_VS_FETAL_DN3_THYMOCYTE_UP,GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP,GSE17721_CTRL_VS_LPS_8H_BMDC_UP
362,GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,GSE3982_DC_VS_MAC_UP,GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_6H_UP
363,GO_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION,GSE39820_CTRL_VS_IL1B_IL6_CD4_TCELL_UP,GSE29164_DAY3_VS_DAY7_CD8_TCELL_AND_IL12_TREATED_MELANOMA_UP
364,GSE11961_MEMORY_BCELL_DAY7_VS_GERMINAL_CENTER_BCELL_DAY7_UP,GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP,GSE19198_6H_VS_24H_IL21_TREATED_TCELL_UP
365,GO_NAD_METABOLIC_PROCESS,GO_REGULATION_OF_GLUCOSE_TRANSPORT,KAECH_DAY15_EFF_VS_MEMORY_CD8_TCELL_UP
366,GO_PROTEOGLYCAN_METABOLIC_PROCESS,GSE2706_UNSTIM_VS_2H_R848_DC_UP,GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT
367,GSE3039_B2_VS_B1_BCELL_UP,GSE25088_WT_VS_STAT6_KO_MACROPHAGE_UP,GSE45365_HEALTHY_VS_MCMV_INFECTION_CD8A_DC_UP
368,GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP,GSE15659_RESTING_TREG_VS_NONSUPPRESSIVE_TCELL_UP,GSE27786_NKTCELL_VS_ERYTHROBLAST_UP
369,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_UP,GSE13306_TREG_VS_TCONV_UP,GO_MITOCHONDRIAL_MEMBRANE_ORGANIZATION
370,GSE2706_R848_VS_LPS_2H_STIM_DC_UP,GSE5589_IL6_KO_VS_IL10_KO_LPS_STIM_MACROPHAGE_180MIN_UP,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_UP
371,GSE22935_UNSTIM_VS_24H_MBOVIS_BCG_STIM_MYD88_KO_MACROPHAGE_UP,GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_UP,GSE16386_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_6H_UP
372,GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP,GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE9960_GRAM_NEG_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP
373,GSE9960_HEALTHY_VS_GRAM_NEG_SEPSIS_PBMC_UP,GO_CELLULAR_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,GO_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION
374,GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_1H_UP,GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_UP,GSE339_CD8POS_VS_CD4CD8DN_DC_UP
375,GO_REGULATION_OF_NOTCH_SIGNALING_PATHWAY,GSE27786_LSK_VS_MONO_MAC_UP,GO_ENDODERM_FORMATION
376,GO_REGULATION_OF_PHAGOCYTOSIS,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP,GSE17721_12H_VS_24H_LPS_BMDC_UP
377,GSE40274_CTRL_VS_FOXP3_AND_HELIOS_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_UP,GSE17721_POLYIC_VS_CPG_12H_BMDC_UP
378,GSE16385_UNTREATED_VS_12H_ROSIGLITAZONE_IL4_TREATED_MACROPHAGE_UP,GO_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP
379,GSE411_WT_VS_SOCS3_KO_MACROPHAGE_IL6_STIM_400MIN_UP,GSE557_WT_VS_CIITA_KO_DC_UP,GSE22033_UNTREATED_VS_MRL24_TREATED_MEF_UP
380,GSE24292_WT_VS_PPARG_KO_MACROPHAGE_UP,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,GSE15330_WT_VS_IKAROS_KO_GRANULOCYTE_MONOCYTE_PROGENITOR_UP
381,GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP,GSE45365_CD8A_DC_VS_CD11B_DC_UP
382,GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_UP,GO_MEIOTIC_CHROMOSOME_SEGREGATION,GSE30962_PRIMARY_VS_SECONDARY_CHRONIC_LCMV_INF_CD8_TCELL_UP
383,GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_UP,GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_UP,GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP
384,GO_RESPONSE_TO_OSMOTIC_STRESS,GO_CHLORIDE_TRANSPORT,GSE14308_TH1_VS_TH17_UP
385,GSE19401_UNSTIM_VS_PAM2CSK4_STIM_FOLLICULAR_DC_UP,GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP,GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_UP
386,GSE10240_CTRL_VS_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS,GSE41867_NAIVE_VS_DAY8_LCMV_EFFECTOR_CD8_TCELL_UP
387,GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP,GSE7764_IL15_TREATED_VS_CTRL_NK_CELL_24H_UP,GO_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS
388,GSE17301_IFNA2_VS_IFNA5_STIM_ACD3_ACD28_ACT_CD8_TCELL_UP,GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_10H_UP
389,GSE37416_CTRL_VS_12H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP,GSE17721_0.5H_VS_24H_PAM3CSK4_BMDC_UP
390,GO_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,GSE16450_CTRL_VS_IFNA_12H_STIM_MATURE_NEURON_CELL_LINE_UP,GSE19941_IL10_KO_VS_IL10_KO_AND_NFKBP50_KO_LPS_STIM_MACROPHAGE_UP
391,GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP,GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP,GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_UP
392,GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP,GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP,GSE37533_PPARG2_FOXP3_VS_FOXP3_TRANSDUCED_CD4_TCELL_UP
393,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_NFATC1_KO_3H_UP,GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_UP,GSE10325_CD4_TCELL_VS_MYELOID_UP
394,GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_UP,GSE27786_CD8_TCELL_VS_NKTCELL_UP,GSE9960_HEALTHY_VS_SEPSIS_PBMC_UP
395,GSE45365_NK_CELL_VS_CD8_TCELL_MCMV_INFECTION_UP,GSE16385_IL4_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP,GSE8835_CD4_VS_CD8_TCELL_CLL_PATIENT_UP
396,GSE7831_UNSTIM_VS_CPG_STIM_PDC_1H_UP,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_UP,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP
397,GO_MODIFICATION_OF_MORPHOLOGY_OR_PHYSIOLOGY_OF_OTHER_ORGANISM,GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP,GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_UP
398,GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_PMA_STIM_UP,GSE41867_NAIVE_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP
399,GO_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE,GSE5503_LIVER_DC_VS_MLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GSE14908_RESTING_VS_HDM_STIM_CD4_TCELL_ATOPIC_PATIENT_UP
400,GSE360_CTRL_VS_L_DONOVANI_MAC_UP,GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_3H_UP,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_UP
401,GSE20500_RETINOIC_ACID_VS_RARA_ANTAGONIST_TREATED_CD4_TCELL_UP,GSE13738_RESTING_VS_TCR_ACTIVATED_CD4_TCELL_UP,GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_UP
402,GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_UP,GSE46606_IRF4HIGH_VS_WT_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP,GSE3982_MAST_CELL_VS_BASOPHIL_UP
403,GSE41867_DAY8_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP,GSE43863_TH1_VS_TFH_MEMORY_CD4_TCELL_UP
404,GSE16385_ROSIGLITAZONE_IFNG_TNF_VS_IL4_STIM_MACROPHAGE_UP,GSE11057_NAIVE_VS_EFF_MEMORY_CD4_TCELL_UP,GSE18804_SPLEEN_MACROPHAGE_VS_COLON_TUMORAL_MACROPHAGE_UP
405,GSE40274_LEF1_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP,GSE45365_CTRL_VS_MCMV_INFECTION_NK_CELL_UP,GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_UP
406,GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GSE2826_WT_VS_XID_BCELL_UP
407,GSE21546_WT_VS_SAP1A_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GSE10239_NAIVE_VS_MEMORY_CD8_TCELL_UP,GSE43955_TGFB_IL6_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP
408,GSE17721_12H_VS_24H_LPS_BMDC_UP,GSE37336_LY6C_POS_VS_NEG_NAIVE_CD4_TCELL_UP,GSE17721_CPG_VS_GARDIQUIMOD_6H_BMDC_UP
409,GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GSE9650_NAIVE_VS_EXHAUSTED_CD8_TCELL_UP,GSE17721_CTRL_VS_POLYIC_12H_BMDC_UP
410,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GO_SINGLE_ORGANISM_MEMBRANE_BUDDING,GSE17721_PAM3CSK4_VS_GADIQUIMOD_8H_BMDC_UP
411,GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_UP,GSE8621_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP,GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP
412,GO_POSITIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION,GSE17721_PAM3CSK4_VS_CPG_8H_BMDC_UP,GO_RNA_METHYLATION
413,GSE24142_DN2_VS_DN3_THYMOCYTE_UP,GO_RESPONSE_TO_BMP,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_MAC_UP
414,GSE22886_TCELL_VS_BCELL_NAIVE_UP,GO_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,GSE19923_E2A_KO_VS_E2A_AND_HEB_KO_DP_THYMOCYTE_UP
415,GSE27859_DC_VS_CD11C_INT_F480_INT_DC_UP,GSE27786_LIN_NEG_VS_MONO_MAC_UP,GSE21063_WT_VS_NFATC1_KO_BCELL_UP
416,GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP,GSE10240_IL22_VS_IL17_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GSE2405_S_AUREUS_VS_A_PHAGOCYTOPHILUM_NEUTROPHIL_UP
417,GO_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,GSE24142_DN2_VS_DN3_THYMOCYTE_ADULT_UP,GO_B_CELL_DIFFERENTIATION
418,GSE3982_EFF_MEMORY_CD4_TCELL_VS_TH2_UP,GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP,GO_NEGATIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT
419,GSE12845_NAIVE_VS_PRE_GC_TONSIL_BCELL_UP,GSE13306_RA_VS_UNTREATED_TCONV_UP,GSE27786_LSK_VS_NEUTROPHIL_UP
420,GSE37301_MULTIPOTENT_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP,GSE13229_MATURE_VS_INTMATURE_NKCELL_UP,GSE17721_LPS_VS_POLYIC_24H_BMDC_UP
421,GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP,GSE5589_WT_VS_IL6_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP,GSE360_T_GONDII_VS_M_TUBERCULOSIS_MAC_UP
422,GSE2405_0H_VS_1.5H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP,GSE5679_PPARG_LIGAND_ROSIGLITAZONE_VS_ROSIGLITAZONE_AND_RARA_AGONIST_AM580_TREATED_DC_UP
423,GSE3039_CD4_TCELL_VS_ALPHAALPHA_CD8_TCELL_UP,GSE5503_LIVER_DC_VS_SPLEEN_DC_ACTIVATED_ALLOGENIC_TCELL_UP,GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY40_UP
424,GSE12845_IGD_POS_VS_NEG_BLOOD_BCELL_UP,GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_UP,GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP
425,GSE22886_TH1_VS_TH2_48H_ACT_UP,GO_OOGENESIS,GSE17721_LPS_VS_GARDIQUIMOD_1H_BMDC_UP
426,GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_2H_UP,GSE7852_THYMUS_VS_FAT_TREG_UP,GSE22611_MUTANT_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_6H_UP
427,GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP,GSE31082_DP_VS_CD4_SP_THYMOCYTE_UP,GSE3982_DC_VS_NEUTROPHIL_LPS_STIM_UP
428,GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_UP,GSE11961_MARGINAL_ZONE_BCELL_VS_PLASMA_CELL_DAY7_UP,GSE17721_LPS_VS_POLYIC_1H_BMDC_UP
429,GSE17974_0H_VS_2H_IN_VITRO_ACT_CD4_TCELL_UP,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_IL12_CD8_TCELL_UP,GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP
430,GSE3982_MEMORY_CD4_TCELL_VS_TH1_UP,GO_POSITIVE_REGULATION_OF_AXONOGENESIS,GSE27786_LIN_NEG_VS_NEUTROPHIL_UP
431,GSE24634_NAIVE_CD4_TCELL_VS_DAY3_IL4_CONV_TREG_UP,GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP,GSE14769_UNSTIM_VS_120MIN_LPS_BMDM_UP
432,GSE16385_ROSIGLITAZONE_VS_UNTREATED_IFNG_TNF_STIM_MACROPHAGE_UP,GO_SEGMENTATION,GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP
433,GSE9006_TYPE_1_DIABETES_AT_DX_VS_1MONTH_POST_DX_PBMC_UP,GSE21670_TGFB_VS_IL6_TREATED_CD4_TCELL_UP,GSE557_WT_VS_CIITA_KO_DC_UP
434,GO_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE,GSE3982_DC_VS_NEUTROPHIL_UP,GSE19888_ADENOSINE_A3R_ACT_VS_TCELL_MEMBRANES_ACT_AND_A3R_INH_PRETREAT_IN_MAST_CELL_UP
435,GSE13522_WT_VS_IFNAR_KO_SKING_T_CRUZI_Y_STRAIN_INF_UP,GSE15659_NAIVE_CD4_TCELL_VS_NONSUPPRESSIVE_TCELL_UP,GSE30971_WBP7_HET_VS_KO_MACROPHAGE_2H_LPS_STIM_UP
436,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_2H_UP,GSE21360_PRIMARY_VS_SECONDARY_MEMORY_CD8_TCELL_UP,GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP
437,GSE16385_ROSIGLITAZONE_IL4_VS_ROSIGLITAZONE_ALONE_STIM_MACROPHAGE_UP,GSE27786_BCELL_VS_MONO_MAC_UP,GSE43955_1H_VS_20H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP
438,GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS,GSE20727_DNFB_ALLERGEN_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_UP,GSE40274_CTRL_VS_FOXP3_TRANSDUCED_ACTIVATED_CD4_TCELL_UP
439,GSE23321_CD8_STEM_CELL_MEMORY_VS_EFFECTOR_MEMORY_CD8_TCELL_UP,GSE7460_TREG_VS_TCONV_ACT_WITH_TGFB_UP,GSE17721_CTRL_VS_CPG_1H_BMDC_UP
440,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP,GSE27786_LIN_NEG_VS_CD8_TCELL_UP,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP
441,GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_ADULT_UP,GSE7852_LN_VS_FAT_TREG_UP,GSE22886_CD8_VS_CD4_NAIVE_TCELL_UP
