,b,t
624,GSE3982_BASOPHIL_VS_NKCELL_UP,GO_RIBONUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS
625,GO_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS,GO_MIDBRAIN_DEVELOPMENT
626,GSE13306_RA_VS_UNTREATED_TCONV_UP,GSE360_L_DONOVANI_VS_L_MAJOR_DC_UP
627,GSE8621_UNSTIM_VS_LPS_STIM_MACROPHAGE_UP,GSE17721_LPS_VS_POLYIC_0.5H_BMDC_UP
628,GSE35543_IN_VIVO_NTREG_VS_IN_VITRO_ITREG_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_30H_UP
629,GSE3982_EOSINOPHIL_VS_TH1_UP,GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS
630,GO_RESPONSE_TO_PROSTAGLANDIN,GO_NEGATIVE_REGULATION_OF_AUTOPHAGY
631,GSE2770_TGFB_AND_IL4_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP,GO_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION
632,GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE,GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_UP
633,GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDC_UP,GSE40068_CXCR5NEG_BCL6NEG_CD4_TCELL_VS_CXCR5POS_BCL6NEG_TFH_UP
634,GO_HORMONE_TRANSPORT,GO_POSITIVE_REGULATION_OF_NUCLEAR_DIVISION
635,GSE21670_TGFB_VS_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GSE32986_UNSTIM_VS_CURDLAN_HIGHDOSE_STIM_DC_UP
636,GSE24726_WT_VS_E2_2_KO_PDC_DAY6_POST_DELETION_UP,GO_ESTABLISHMENT_OF_LOCALIZATION_BY_MOVEMENT_ALONG_MICROTUBULE
637,GSE22886_DC_VS_MONOCYTE_UP,GSE15324_NAIVE_VS_ACTIVATED_ELF4_KO_CD8_TCELL_UP
638,GSE28783_ANTI_MIR33_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP,GSE5589_WT_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP
639,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_24H_UP,GO_INNER_EAR_MORPHOGENESIS
640,GO_CARDIOCYTE_DIFFERENTIATION,GSE17721_0.5H_VS_8H_LPS_BMDC_UP
641,GO_TRANSMISSION_OF_NERVE_IMPULSE,GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_UP
642,GSE20198_IL12_VS_IL12_IL18_TREATED_ACT_CD4_TCELL_UP,GSE5099_MONOCYTE_VS_CLASSICAL_M1_MACROPHAGE_UP
643,GO_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY,GSE21774_CD56_BRIGHT_VS_DIM_CD62L_POSITIVE_NK_CELL_UP
644,GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP,GO_PROTEIN_TARGETING_TO_MITOCHONDRION
645,GSE27786_LSK_VS_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
646,GSE9960_GRAM_POS_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP,GO_REGULATION_OF_DNA_REPAIR
647,GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,GSE14308_TH17_VS_INDUCED_TREG_UP
648,GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GO_CELLULAR_RESPONSE_TO_IONIZING_RADIATION
649,GO_RENAL_TUBULE_DEVELOPMENT,GO_THIOESTER_BIOSYNTHETIC_PROCESS
650,GSE29164_DAY3_VS_DAY7_CD8_TCELL_TREATED_MELANOMA_UP,GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_UP
651,GO_CERAMIDE_METABOLIC_PROCESS,GSE17721_CTRL_VS_PAM3CSK4_12H_BMDC_UP
652,GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,GSE3982_DC_VS_NEUTROPHIL_UP
653,GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GSE37301_MULTIPOTENT_PROGENITOR_VS_RAG2_KO_NK_CELL_UP
654,GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_6H_UP,GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP
655,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_UP,GSE37301_LYMPHOID_PRIMED_MPP_VS_CD4_TCELL_UP
656,GSE21670_TGFB_VS_TGFB_AND_IL6_TREATED_STAT3_KO_CD4_TCELL_UP,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_8H_UP
657,GSE17721_LPS_VS_PAM3CSK4_16H_BMDC_UP,GSE37416_0H_VS_6H_F_TULARENSIS_LVS_NEUTROPHIL_UP
658,GO_POSITIVE_REGULATION_OF_AXONOGENESIS,GSE9878_CTRL_VS_EBF_TRANSDUCED_PAX5_KO_PRO_BCELL_UP
659,GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4MID_BCELL_UP,GO_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER
660,GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS,GSE17580_TREG_VS_TEFF_UP
661,GSE17721_POLYIC_VS_CPG_16H_BMDC_UP,GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_180MIN_UP
662,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP,GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT
663,GO_OUTFLOW_TRACT_MORPHOGENESIS,GSE14308_INDUCED_VS_NATURAL_TREG_UP
664,GO_EMBRYONIC_HEART_TUBE_MORPHOGENESIS,GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_10H_UP
665,GO_POSITIVE_REGULATION_OF_MUSCLE_TISSUE_DEVELOPMENT,GSE15330_WT_VS_IKAROS_KO_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP
666,GSE5099_UNSTIM_VS_MCSF_TREATED_MONOCYTE_DAY3_UP,GO_CHROMOSOME_LOCALIZATION
667,GO_RESPONSE_TO_PROGESTERONE,GSE42724_B1_BCELL_VS_PLASMABLAST_UP
668,GO_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,GSE2405_S_AUREUS_VS_UNTREATED_NEUTROPHIL_UP
669,GSE17721_POLYIC_VS_CPG_8H_BMDC_UP,GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_UP
670,GSE24814_STAT5_KO_VS_WT_PRE_BCELL_UP,GO_NEURAL_NUCLEUS_DEVELOPMENT
671,GO_NUCLEOSIDE_PHOSPHATE_CATABOLIC_PROCESS,GSE19923_E2A_KO_VS_E2A_AND_HEB_KO_DP_THYMOCYTE_UP
672,GO_MESONEPHROS_DEVELOPMENT,GO_ATP_DEPENDENT_CHROMATIN_REMODELING
673,GSE17721_LPS_VS_GARDIQUIMOD_0.5H_BMDC_UP,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_UP
674,GO_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY,GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION
675,GSE19401_NAIVE_VS_IMMUNIZED_MOUSE_PLN_FOLLICULAR_DC_UP,GSE39110_DAY3_VS_DAY6_POST_IMMUNIZATION_CD8_TCELL_WITH_IL2_TREATMENT_UP
676,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_MDC_UP,GO_RESPONSE_TO_AMMONIUM_ION
677,GSE37534_UNTREATED_VS_PIOGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP,GSE24671_BAKIMULC_VS_SENDAI_VIRUS_INFECTED_MOUSE_SPLENOCYTES_UP
678,GO_MULTI_ORGANISM_BEHAVIOR,GO_POSITIVE_REGULATION_OF_DNA_REPLICATION
679,GO_DEVELOPMENTAL_CELL_GROWTH,GSE27786_CD8_TCELL_VS_ERYTHROBLAST_UP
680,GSE17721_CTRL_VS_GARDIQUIMOD_12H_BMDC_UP,GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP
681,GO_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS,GSE9037_CTRL_VS_LPS_1H_STIM_BMDM_UP
682,GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP,GSE27434_WT_VS_DNMT1_KO_TREG_UP
683,GSE22886_NAIVE_VS_MEMORY_TCELL_UP,GSE17721_LPS_VS_CPG_0.5H_BMDC_UP
684,GSE19401_PAM2CSK4_VS_RETINOIC_ACID_AND_PAM2CSK4_STIM_FOLLICULAR_DC_UP,GO_REGULATION_OF_CELLULAR_RESPONSE_TO_HEAT
685,GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP,KAECH_NAIVE_VS_MEMORY_CD8_TCELL_UP
686,GSE22611_MUTANT_NOD2_TRANSDUCED_VS_CTRL_HEK293T_STIMULATED_WITH_MDP_6H_UP,GO_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS
687,GSE3982_EOSINOPHIL_VS_BCELL_UP,GSE39110_UNTREATED_VS_IL2_TREATED_CD8_TCELL_DAY3_POST_IMMUNIZATION_UP
688,GSE1460_CD4_THYMOCYTE_VS_THYMIC_STROMAL_CELL_UP,GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS
689,GO_ORGAN_GROWTH,GSE17721_CTRL_VS_LPS_8H_BMDC_UP
690,GO_REGULATION_OF_CELL_MATRIX_ADHESION,GSE3982_MAC_VS_NEUTROPHIL_LPS_STIM_UP
691,GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_12H_IFNA_STIM_UP,GSE7831_CPG_VS_INFLUENZA_STIM_PDC_4H_UP
692,GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP,GO_NUCLEOTIDE_PHOSPHORYLATION
693,GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP,GO_SOMITOGENESIS
694,GO_REGULATION_OF_LIPID_CATABOLIC_PROCESS,GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY1_STIMULATED_BCELL_UP
695,GSE28737_BCL6_HET_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP,GSE339_CD4POS_VS_CD8POS_DC_IN_CULTURE_UP
696,GSE7460_CTRL_VS_TGFB_TREATED_ACT_TCONV_UP,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_10H_UP
697,GSE360_CTRL_VS_M_TUBERCULOSIS_MAC_UP,GSE43956_WT_VS_SGK1_KO_TH17_DIFFERENTIATED_CD4_TCELL_UP
698,GSE17721_POLYIC_VS_CPG_6H_BMDC_UP,GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_UP
699,GSE17721_12H_VS_24H_CPG_BMDC_UP,GO_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS
700,GSE16451_IMMATURE_VS_MATURE_NEURON_CELL_LINE_WEST_EQUINE_ENC_VIRUS_UP,GSE27291_6H_VS_7D_STIM_GAMMADELTA_TCELL_UP
701,GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION,GO_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT
702,GO_LYSOSOMAL_TRANSPORT,GSE17721_PAM3CSK4_VS_GADIQUIMOD_2H_BMDC_UP
703,GSE42021_TCONV_PLN_VS_TREG_PRECURSORS_THYMUS_UP,GSE17721_CTRL_VS_CPG_1H_BMDC_UP
704,GO_LYTIC_VACUOLE_ORGANIZATION,GO_MONOSACCHARIDE_CATABOLIC_PROCESS
705,GSE17721_PAM3CSK4_VS_GADIQUIMOD_0.5H_BMDC_UP,GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_1H_UP
706,GO_DETECTION_OF_LIGHT_STIMULUS,GO_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING
707,GSE10239_MEMORY_VS_KLRG1INT_EFF_CD8_TCELL_UP,GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP
708,GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE,GSE22103_UNSTIM_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_UP
709,GO_SYNAPSE_ASSEMBLY,GSE17721_CTRL_VS_CPG_4H_BMDC_UP
710,GO_ACTIN_MEDIATED_CELL_CONTRACTION,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP
711,GSE29164_DAY3_VS_DAY7_CD8_TCELL_AND_IL12_TREATED_MELANOMA_UP,GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_CORTEX_THYMUS_UP
712,GO_RETINA_HOMEOSTASIS,GO_DETOXIFICATION
713,GSE20715_0H_VS_24H_OZONE_TLR4_KO_LUNG_UP,GO_CELLULAR_ALDEHYDE_METABOLIC_PROCESS
714,GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE,GSE43260_BTLA_POS_VS_NEG_INTRATUMORAL_CD8_TCELL_UP
715,GO_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION,GSE17721_0.5H_VS_4H_GARDIQUIMOD_BMDC_UP
716,GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,GSE3982_MAST_CELL_VS_CENT_MEMORY_CD4_TCELL_UP
717,GO_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS,GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP
718,GO_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_48H_UP
719,GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,GSE14769_UNSTIM_VS_60MIN_LPS_BMDM_UP
720,GO_CELLULAR_RESPONSE_TO_KETONE,GO_ADHERENS_JUNCTION_ORGANIZATION
721,GSE3982_NKCELL_VS_TH2_UP,GO_REGULATION_OF_TRANSLATIONAL_INITIATION
722,GSE12392_CD8A_POS_VS_NEG_SPLEEN_IFNB_KO_DC_UP,GO_CARDIAC_SEPTUM_DEVELOPMENT
723,GSE37301_HEMATOPOIETIC_STEM_CELL_VS_PRO_BCELL_UP,GO_MEIOSIS_I
724,GSE17721_0.5H_VS_8H_GARDIQUIMOD_BMDC_UP,GSE6092_UNSTIM_VS_IFNG_STIM_AND_B_BURGDORFERI_INF_ENDOTHELIAL_CELL_UP
725,GSE3982_CENT_MEMORY_CD4_TCELL_VS_TH2_UP,GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS
726,GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GSE7852_LN_VS_FAT_TCONV_UP
727,GSE15930_NAIVE_VS_24H_IN_VITRO_STIM_INFAB_CD8_TCELL_UP,GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE
728,GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA2_STIM_CD8_TCELL_UP,GO_POSITIVE_REGULATION_OF_CYTOKINE_SECRETION
729,GO_PEPTIDE_SECRETION,GO_POSITIVE_REGULATION_OF_CAMP_METABOLIC_PROCESS
730,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GSE3982_EFF_MEMORY_CD4_TCELL_VS_NKCELL_UP
731,GO_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GSE2770_UNTREATED_VS_ACT_CD4_TCELL_48H_UP
732,GO_NEGATIVE_REGULATION_OF_WOUND_HEALING,GO_CELLULAR_GLUCOSE_HOMEOSTASIS
733,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_UP,GSE17721_CTRL_VS_GARDIQUIMOD_8H_BMDC_UP
734,GO_MUSCLE_ORGAN_MORPHOGENESIS,GSE14308_TH2_VS_TH1_UP
735,GO_CELLULAR_RESPONSE_TO_RETINOIC_ACID,GO_SPINDLE_ASSEMBLY
736,GSE15330_WT_VS_IKAROS_KO_GRANULOCYTE_MONOCYTE_PROGENITOR_UP,GSE16385_MONOCYTE_VS_12H_ROSIGLITAZONE_TREATED_MACROPHAGE_UP
737,GO_IRON_ION_HOMEOSTASIS,GSE360_HIGH_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_DC_UP
738,GSE42724_MEMORY_BCELL_VS_PLASMABLAST_UP,GSE21379_TFH_VS_NON_TFH_SAP_KO_CD4_TCELL_UP
739,GSE17721_POLYIC_VS_GARDIQUIMOD_8H_BMDC_UP,GSE43955_1H_VS_10H_ACT_CD4_TCELL_UP
740,GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_GRAN_MONO_PROGENITOR_UP,GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_UP
741,GO_REGULATION_OF_RESPONSE_TO_OXIDATIVE_STRESS,GSE3982_CTRL_VS_PMA_STIM_EOSINOPHIL_UP
742,GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP,GO_REGULATION_OF_POTASSIUM_ION_TRANSPORT
743,GSE17721_LPS_VS_GARDIQUIMOD_4H_BMDC_UP,GSE360_T_GONDII_VS_M_TUBERCULOSIS_DC_UP
744,GSE22886_TH1_VS_TH2_48H_ACT_UP,GSE21360_PRIMARY_VS_SECONDARY_MEMORY_CD8_TCELL_UP
745,GO_MYELOID_LEUKOCYTE_DIFFERENTIATION,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_6H_UP
746,GO_STEROL_HOMEOSTASIS,GO_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION
747,GO_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_17H_UP
748,GO_PIGMENTATION,GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_UP
749,GSE24210_TCONV_VS_TREG_UP,GO_APOPTOTIC_MITOCHONDRIAL_CHANGES
750,GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_UP,GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP
751,GSE19198_CTRL_VS_IL21_TREATED_TCELL_24H_UP,GSE27786_LSK_VS_ERYTHROBLAST_UP
752,GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO_NEURON_FATE_COMMITMENT
753,GO_REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,GO_CELLULAR_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS
754,GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP,GSE25123_CTRL_VS_IL4_STIM_MACROPHAGE_UP
755,GO_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_UP
756,GSE360_CTRL_VS_B_MALAYI_LOW_DOSE_DC_UP,GO_NAD_METABOLIC_PROCESS
757,GO_POSITIVE_REGULATION_OF_AUTOPHAGY,GSE19888_CTRL_VS_TCELL_MEMBRANES_ACT_MAST_CELL_PRETREAT_A3R_INH_UP
758,GO_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,GSE7852_LN_VS_FAT_TREG_UP
759,GO_POSITIVE_REGULATION_OF_EXOCYTOSIS,GO_INTERACTION_WITH_SYMBIONT
760,GSE35435_RESTING_VS_IL4_TREATED_MACROPHAGE_UP,GSE11961_FOLLICULAR_BCELL_VS_GERMINAL_CENTER_BCELL_DAY7_UP
761,GSE19401_UNSTIM_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP,GSE46606_IRF4HIGH_VS_IRF4MID_CD40L_IL2_IL5_DAY3_STIMULATED_BCELL_UP
762,GO_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION,GSE7831_1H_VS_4H_CPG_STIM_PDC_UP
763,GSE28737_WT_VS_BCL6_KO_MARGINAL_ZONE_BCELL_UP,GSE17721_CPG_VS_GARDIQUIMOD_24H_BMDC_UP
764,GSE360_DC_VS_MAC_T_GONDII_UP,GSE17721_CTRL_VS_POLYIC_8H_BMDC_UP
765,GO_NEURAL_CREST_CELL_DIFFERENTIATION,GSE2585_CTEC_VS_THYMIC_MACROPHAGE_UP
766,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP,GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP
767,GO_PHOTOTRANSDUCTION,GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP
768,GSE41978_ID2_KO_VS_ID2_KO_AND_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GO_SOMITE_DEVELOPMENT
769,GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GSE23308_CTRL_VS_CORTICOSTERONE_TREATED_MACROPHAGE_UP
770,GSE19923_WT_VS_E2A_KO_DP_THYMOCYTE_UP,GO_NEGATIVE_REGULATION_OF_NUCLEOTIDE_METABOLIC_PROCESS
771,GO_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_24H_MBOVIS_BCG_STIM_UP
772,GSE3982_MAC_VS_NKCELL_UP,GO_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY
773,GSE34006_WT_VS_A2AR_KO_TREG_UP,GO_NEURAL_RETINA_DEVELOPMENT
774,GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP,GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_PMA_STIM_UP
775,GSE34515_CD16_NEG_VS_POS_MONOCYTE_UP,GSE1925_CTRL_VS_3H_IFNG_STIM_MACROPHAGE_UP
776,GSE23321_CENTRAL_VS_EFFECTOR_MEMORY_CD8_TCELL_UP,GSE10239_MEMORY_VS_DAY4.5_EFF_CD8_TCELL_UP
777,GO_REGULATION_OF_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP
778,GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_DAY10_UP,GSE25123_CTRL_VS_ROSIGLITAZONE_STIM_MACROPHAGE_UP
779,GSE17721_CPG_VS_GARDIQUIMOD_2H_BMDC_UP,GSE14000_UNSTIM_VS_16H_LPS_DC_TRANSLATED_RNA_UP
780,GSE3982_MAC_VS_BASOPHIL_UP,GSE17721_CTRL_VS_POLYIC_2H_BMDC_UP
781,GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,GSE18281_PERIMEDULLARY_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP
782,GSE360_CTRL_VS_L_DONOVANI_DC_UP,GSE18281_SUBCAPSULAR_CORTICAL_REGION_VS_WHOLE_MEDULLA_THYMUS_UP
783,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GSE360_L_DONOVANI_VS_T_GONDII_MAC_UP
784,GO_POSITIVE_REGULATION_OF_LIPID_TRANSPORT,GSE46143_CTRL_VS_LMP2A_TRANSDUCED_CD10_POS_GC_BCELL_UP
785,GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,GSE37416_0H_VS_3H_F_TULARENSIS_LVS_NEUTROPHIL_UP
786,GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GSE9037_WT_VS_IRAK4_KO_BMDM_UP
787,GSE5589_LPS_VS_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP
788,GO_HEART_PROCESS,GO_OVULATION_CYCLE_PROCESS
789,GO_ALCOHOL_CATABOLIC_PROCESS,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_UP
790,GO_MEMBRANE_DOCKING,GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS
791,GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS,GSE13306_RA_VS_UNTREATED_TREG_UP
792,GSE24972_MARGINAL_ZONE_BCELL_VS_FOLLICULAR_BCELL_UP,GO_POSITIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING
793,GO_PANCREAS_DEVELOPMENT,GSE25087_FETAL_VS_ADULT_TREG_UP
794,GO_REGULATION_OF_CYTOKINESIS,GSE45365_HEALTHY_VS_MCMV_INFECTION_BCELL_IFNAR_KO_UP
795,GSE18893_TCONV_VS_TREG_24H_CULTURE_UP,GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP
796,GSE29164_UNTREATED_VS_CD8_TCELL_TREATED_MELANOMA_DAY7_UP,GO_DNA_MODIFICATION
797,GO_REGULATION_OF_ADHERENS_JUNCTION_ORGANIZATION,GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE
798,GO_REGULATION_OF_LIPID_TRANSPORT,GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP
799,GO_RESPONSE_TO_FATTY_ACID,GSE339_EX_VIVO_VS_IN_CULTURE_CD8POS_DC_UP
800,GSE17721_CTRL_VS_PAM3CSK4_2H_BMDC_UP,GSE43955_TH0_VS_TGFB_IL6_IL23_TH17_ACT_CD4_TCELL_60H_UP
801,GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_UP
802,GO_EMBRYONIC_PLACENTA_DEVELOPMENT,GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_NAIVE_CD8_TCELL_UP
803,GSE43955_10H_VS_30H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP,GSE17721_LPS_VS_CPG_4H_BMDC_UP
804,GSE411_UNSTIM_VS_100MIN_IL6_STIM_MACROPHAGE_UP,GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION
805,GSE44732_UNSTIM_VS_IL27_STIM_IMATURE_DC_UP,GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_UP
806,GSE13306_TREG_VS_TCONV_SPLEEN_UP,GSE360_HIGH_VS_LOW_DOSE_B_MALAYI_DC_UP
