,b,t,mono
659,GSE17301_ACD3_ACD28_VS_ACD3_ACD28_AND_IFNA5_STIM_CD8_TCELL_UP,GSE45365_NK_CELL_VS_CD11B_DC_UP,GSE35825_UNTREATED_VS_IFNG_STIM_MACROPHAGE_UP
660,GSE1112_OT1_CD8AB_VS_HY_CD8AA_THYMOCYTE_RTOC_CULTURE_UP,GO_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION,GO_NEURAL_NUCLEUS_DEVELOPMENT
661,GSE43863_NAIVE_VS_LY6C_LOW_CXCR5NEG_CD4_EFF_TCELL_D6_LCMV_UP,GSE2770_IL12_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GO_MONOSACCHARIDE_CATABOLIC_PROCESS
662,GO_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT,GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP,GSE40666_UNTREATED_VS_IFNA_STIM_STAT1_KO_CD8_TCELL_90MIN_UP
663,GSE5455_HEALTHY_VS_TUMOR_BEARING_MOUSE_SPLEEN_MONOCYTE_UP,GO_JNK_CASCADE,GSE2770_UNTREATED_VS_TGFB_AND_IL4_TREATED_ACT_CD4_TCELL_2H_UP
664,GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP,GSE17721_CTRL_VS_POLYIC_24H_BMDC_UP,GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION
665,GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT,GSE8621_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP,GSE17721_LPS_VS_POLYIC_8H_BMDC_UP
666,GO_PROTEIN_MONOUBIQUITINATION,GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_12H_UP,GSE2770_IL12_AND_TGFB_VS_IL4_TREATED_ACT_CD4_TCELL_48H_UP
667,GO_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION,GSE17186_NAIVE_VS_CD21HIGH_TRANSITIONAL_BCELL_UP,GSE3400_UNTREATED_VS_IFNB_TREATED_MEF_UP
668,GSE29617_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_2008_UP,GO_DICARBOXYLIC_ACID_TRANSPORT,GO_POSITIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION
669,GO_CELLULAR_RESPONSE_TO_IONIZING_RADIATION,GSE30083_SP3_VS_SP4_THYMOCYTE_UP,GSE17721_POLYIC_VS_PAM3CSK4_12H_BMDC_UP
670,GSE29615_CTRL_VS_DAY3_LAIV_IFLU_VACCINE_PBMC_UP,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_1H_ACT_CD4_TCELL_UP,GO_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS
671,GSE29615_DAY3_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP,GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GO_POSITIVE_REGULATION_OF_CATION_TRANSMEMBRANE_TRANSPORT
672,GO_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY,GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_UP,GSE360_DC_VS_MAC_L_DONOVANI_UP
673,GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP,GSE17721_PAM3CSK4_VS_GADIQUIMOD_16H_BMDC_UP
674,GO_RESPONSE_TO_GAMMA_RADIATION,GSE32423_IL7_VS_IL7_IL4_NAIVE_CD8_TCELL_UP,GO_ENDOTHELIUM_DEVELOPMENT
675,GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY,GO_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS,GSE17721_12H_VS_24H_GARDIQUIMOD_BMDC_UP
676,GSE10273_HIGH_IL7_VS_HIGH_IL7_AND_IRF4_IN_IRF4_8_NULL_PRE_BCELL_UP,GO_PERIPHERAL_NERVOUS_SYSTEM_DEVELOPMENT,GSE15930_STIM_VS_STIM_AND_IL12_72H_CD8_T_CELL_UP
677,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_48H_MBOVIS_BCG_STIM_UP,GSE13306_TREG_RA_VS_TCONV_RA_UP,GSE29949_CD8_POS_DC_SPLEEN_VS_MONOCYTE_BONE_MARROW_UP
678,GSE3982_MAC_VS_TH2_UP,GO_LIMBIC_SYSTEM_DEVELOPMENT,GSE17186_CD21LOW_VS_CD21HIGH_TRANSITIONAL_BCELL_UP
679,GSE21546_SAP1A_KO_VS_SAP1A_KO_AND_ELK1_KO_ANTI_CD3_STIM_DP_THYMOCYTES_UP,GO_REGULATION_OF_STEROID_METABOLIC_PROCESS,GSE1432_1H_VS_6H_IFNG_MICROGLIA_UP
680,GSE25088_CTRL_VS_ROSIGLITAZONE_STIM_STAT6_KO_MACROPHAGE_UP,GSE8921_UNSTIM_0H_VS_TLR1_2_STIM_MONOCYTE_12H_UP,GSE2770_IL4_ACT_VS_ACT_CD4_TCELL_6H_UP
681,GSE5589_WT_VS_IL10_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_2H_CD4_TCELL_UP,GSE13522_CTRL_VS_T_CRUZI_G_STRAIN_INF_SKIN_UP
682,GSE16450_CTRL_VS_IFNA_6H_STIM_IMMATURE_NEURON_CELL_LINE_UP,GO_NUCLEAR_ENVELOPE_ORGANIZATION,GSE43955_TH0_VS_TGFB_IL6_TH17_ACT_CD4_TCELL_52H_UP
683,GSE17301_CTRL_VS_48H_ACD3_ACD28_IFNA5_STIM_CD8_TCELL_UP,GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP,GSE5589_IL6_KO_VS_IL10_KO_LPS_AND_IL10_STIM_MACROPHAGE_45MIN_UP
684,GO_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_UP,GSE17721_CTRL_VS_PAM3CSK4_8H_BMDC_UP
685,GO_REGULATION_OF_NEUROLOGICAL_SYSTEM_PROCESS,GO_PALATE_DEVELOPMENT,GSE28783_CTRL_ANTI_MIR_VS_UNTREATED_ATHEROSCLEROSIS_MACROPHAGE_UP
686,GSE13411_IGM_VS_SWITCHED_MEMORY_BCELL_UP,GSE7548_NAIVE_VS_DAY28_PCC_IMMUNIZATION_CD4_TCELL_UP,GSE17721_POLYIC_VS_GARDIQUIMOD_24H_BMDC_UP
687,GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP,GO_POSITIVE_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING,GO_POSITIVE_REGULATION_OF_OSSIFICATION
688,GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP,GSE21546_ELK1_KO_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP,GSE33424_CD161_INT_VS_NEG_CD8_TCELL_UP
689,GO_NEURAL_TUBE_FORMATION,GSE18893_TCONV_VS_TREG_24H_TNF_STIM_UP,GO_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY
690,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4MID_SORTED_BCELL_UP,GSE24726_WT_VS_E2_2_KO_PDC_UP,GSE17721_LPS_VS_POLYIC_2H_BMDC_UP
691,GSE1460_INTRATHYMIC_T_PROGENITOR_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP,GSE43863_TFH_VS_LY6C_INT_CXCR5POS_EFFECTOR_CD4_TCELL_UP,GO_IMMUNOGLOBULIN_PRODUCTION
692,GO_ANTIMICROBIAL_HUMORAL_RESPONSE,GO_CARDIAC_SEPTUM_DEVELOPMENT,GSE34156_UNTREATED_VS_24H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP
693,GSE35435_RESTING_VS_IL4_TREATED_MACROPHAGE_UP,GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GO_PROTEIN_LOCALIZATION_TO_MITOCHONDRION
694,GO_NEUTRAL_LIPID_METABOLIC_PROCESS,GO_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION,GSE22935_WT_VS_MYD88_KO_MACROPHAGE_12H_MBOVIS_BCG_STIM_UP
695,GO_MITOTIC_SPINDLE_ORGANIZATION,GO_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,GSE14769_20MIN_VS_360MIN_LPS_BMDM_UP
696,GSE14308_NAIVE_CD4_TCELL_VS_INDUCED_TREG_UP,GO_PEPTIDYL_PROLINE_MODIFICATION,GO_MAINTENANCE_OF_LOCATION_IN_CELL
697,GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_UP,GO_POSITIVE_REGULATION_OF_CYTOKINE_BIOSYNTHETIC_PROCESS,GSE26488_WT_VS_HDAC7_DELTAP_TG_OT2_THYMOCYTE_WITH_PEPTIDE_INJECTION_UP
698,GSE2706_R848_VS_R848_AND_LPS_2H_STIM_DC_UP,GO_KIDNEY_MORPHOGENESIS,GSE26290_WT_VS_PDK1_KO_ANTI_CD3_AND_IL2_STIM_CD8_TCELL_UP
699,GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,GSE42021_CD24HI_VS_CD24LOW_TCONV_THYMUS_UP,GSE39022_LN_VS_SPLEEN_DC_UP
700,GO_PHOTOTRANSDUCTION,GO_POSITIVE_REGULATION_OF_LYASE_ACTIVITY,GSE17974_CTRL_VS_ACT_IL4_AND_ANTI_IL12_1H_CD4_TCELL_UP
701,GSE20198_IL12_IL18_VS_IFNA_TREATED_ACT_CD4_TCELL_UP,GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP,GSE17721_LPS_VS_POLYIC_16H_BMDC_UP
702,GSE26488_WT_VS_VP16_TRANSGENIC_HDAC7_KO_DOUBLE_POSITIVE_THYMOCYTE_UP,GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_UP,GO_VESICLE_COATING
703,GSE13485_PRE_VS_POST_YF17D_VACCINATION_PBMC_UP,GO_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,GSE17721_LPS_VS_GARDIQUIMOD_16H_BMDC_UP
704,GO_CHLORIDE_TRANSPORT,GO_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,GSE17721_CTRL_VS_CPG_4H_BMDC_UP
705,GSE7460_TREG_VS_TCONV_ACT_UP,GSE29949_MICROGLIA_BRAIN_VS_CD8_POS_DC_SPLEEN_UP,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP
706,GSE24726_WT_VS_E2_2_KO_PDC_UP,GSE17974_0H_VS_48H_IN_VITRO_ACT_CD4_TCELL_UP,GSE32986_GMCSF_AND_CURDLAN_LOWDOSE_VS_GMCSF_AND_CURDLAN_HIGHDOSE_STIM_DC_UP
707,GSE39820_IL1B_IL6_VS_IL1B_IL6_IL23A_TREATED_CD4_TCELL_UP,GSE17721_LPS_VS_CPG_1H_BMDC_UP,GSE3039_NKT_CELL_VS_B1_BCELL_UP
708,GO_DETECTION_OF_LIGHT_STIMULUS,GO_PROTEIN_N_LINKED_GLYCOSYLATION,GSE339_EX_VIVO_VS_IN_CULTURE_CD4POS_DC_UP
709,GSE15659_NONSUPPRESSIVE_TCELL_VS_ACTIVATED_TREG_UP,GSE21927_SPLEEN_MONOCYTE_VS_GMCSF_GCSF_BONE_MARROW_UP,GO_MULTICELLULAR_ORGANISMAL_MACROMOLECULE_METABOLIC_PROCESS
710,GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_UP,GSE14308_TH1_VS_NATURAL_TREG_UP,GSE29164_UNTREATED_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY7_UP
711,GO_ENSHEATHMENT_OF_NEURONS,GSE14769_UNSTIM_VS_40MIN_LPS_BMDM_UP,GSE339_CD4POS_VS_CD4CD8DN_DC_UP
712,GO_POSITIVE_REGULATION_OF_FIBROBLAST_PROLIFERATION,GSE40666_NAIVE_VS_EFFECTOR_CD8_TCELL_UP,GSE7831_1H_VS_4H_INFLUENZA_STIM_PDC_UP
713,GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_2H_UP,GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_UP,GSE43955_10H_VS_60H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP
714,GSE37416_CTRL_VS_0H_F_TULARENSIS_LVS_NEUTROPHIL_UP,GO_LENS_DEVELOPMENT_IN_CAMERA_TYPE_EYE,GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE
715,GO_SEGMENTATION,GSE18148_CBFB_KO_VS_WT_TREG_UP,GSE2706_LPS_VS_R848_AND_LPS_8H_STIM_DC_UP
716,GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS,GSE44649_WT_VS_MIR155_KO_ACTIVATED_CD8_TCELL_UP,GSE12845_NAIVE_VS_DARKZONE_GC_TONSIL_BCELL_UP
717,GO_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,GO_PEPTIDE_TRANSPORT,GSE17721_LPS_VS_PAM3CSK4_12H_BMDC_UP
718,GSE11961_MEMORY_BCELL_DAY40_VS_GERMINAL_CENTER_BCELL_DAY40_UP,GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION,GSE27670_CTRL_VS_LMP1_TRANSDUCED_GC_BCELL_UP
719,GSE22611_UNSTIM_VS_2H_MDP_STIM_NOD2_TRANSDUCED_HEK293T_CELL_UP,GSE8685_IL2_STARVED_VS_IL2_ACT_IL2_STARVED_CD4_TCELL_UP,GSE360_DC_VS_MAC_T_GONDII_UP
720,GO_CELLULAR_RESPONSE_TO_LIGHT_STIMULUS,GSE27786_CD8_TCELL_VS_NKTCELL_UP,GSE2770_IL12_ACT_VS_ACT_CD4_TCELL_6H_UP
721,GSE21380_NON_TFH_VS_GERMINAL_CENTER_TFH_CD4_TCELL_UP,GO_POSITIVE_REGULATION_OF_STAT_CASCADE,GSE17721_PAM3CSK4_VS_CPG_16H_BMDC_UP
722,GO_DNA_GEOMETRIC_CHANGE,GSE25088_ROSIGLITAZONE_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_UP
723,GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_UP,GSE13493_CD4INTCD8POS_VS_CD8POS_THYMOCYTE_UP,GSE17721_PAM3CSK4_VS_CPG_12H_BMDC_UP
724,GO_MULTICELLULAR_ORGANISMAL_WATER_HOMEOSTASIS,GSE20366_EX_VIVO_VS_DEC205_CONVERSION_UP,GSE17721_CTRL_VS_POLYIC_4H_BMDC_UP
725,GSE21063_CTRL_VS_ANTI_IGM_STIM_BCELL_16H_UP,GSE32986_UNSTIM_VS_CURDLAN_HIGHDOSE_STIM_DC_UP,GO_REGULATION_OF_B_CELL_PROLIFERATION
726,GSE360_L_DONOVANI_VS_L_MAJOR_DC_UP,GSE17974_0.5H_VS_72H_IL4_AND_ANTI_IL12_ACT_CD4_TCELL_UP,GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP
727,GO_REGULATION_OF_MYOTUBE_DIFFERENTIATION,GSE4984_LPS_VS_VEHICLE_CTRL_TREATED_DC_UP,GSE21546_WT_VS_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_UP
728,GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_UP,GSE19888_CTRL_VS_A3R_ACT_TREATED_MAST_CELL_PRETREATED_WITH_A3R_INH_UP,GSE15330_LYMPHOID_MULTIPOTENT_VS_PRO_BCELL_UP
729,GSE22886_NEUTROPHIL_VS_DC_UP,GSE6259_DEC205_POS_DC_VS_CD4_TCELL_UP,GO_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS
730,GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP,GSE2585_AIRE_KO_VS_WT_CD80_LOW_MTEC_UP,GSE28726_NAIVE_VS_ACTIVATED_VA24NEG_NKTCELL_UP
731,GSE411_UNSTIM_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP,GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4HIGH_SORTED_BCELL_UP,GO_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE
732,GO_SIGNAL_TRANSDUCTION_IN_RESPONSE_TO_DNA_DAMAGE,GO_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,GSE17721_0.5H_VS_24H_POLYIC_BMDC_UP
733,GSE22045_TREG_VS_TCONV_UP,GSE39820_CTRL_VS_TGFBETA1_IL6_CD4_TCELL_UP,GSE15330_HSC_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_IKAROS_KO_UP
734,GSE19401_PAM2CSK4_VS_RETINOIC_ACID_STIM_FOLLICULAR_DC_UP,GSE17721_LPS_VS_PAM3CSK4_2H_BMDC_UP,GSE36826_NORMAL_VS_STAPH_AUREUS_INF_IL1R_KO_SKIN_UP
735,GO_METANEPHROS_DEVELOPMENT,GO_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC,GSE15330_HSC_VS_LYMPHOID_PRIMED_MULTIPOTENT_PROGENITOR_UP
736,GO_RESPONSE_TO_ACTIVITY,GSE16450_CTRL_VS_IFNA_6H_STIM_MATURE_NEURON_CELL_LINE_UP,GSE34006_UNTREATED_VS_A2AR_AGONIST_TREATED_TREG_UP
737,GSE43863_DAY6_EFF_VS_DAY150_MEM_TH1_CD4_TCELL_UP,GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_UP,GO_VESICLE_DOCKING
738,GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP,GO_MITOTIC_SISTER_CHROMATID_SEGREGATION,GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_UP
739,GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_MCMV_INFECTION_UP,GO_REGULATION_OF_CYTOKINESIS,GO_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION
740,GO_REGULATION_OF_AMINE_TRANSPORT,GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,GSE1925_CTRL_VS_24H_IFNG_STIM_IFNG_PRIMED_MACROPHAGE_UP
741,GO_STEM_CELL_PROLIFERATION,GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP,GSE24574_BCL6_LOW_TFH_VS_NAIVE_CD4_TCELL_UP
742,GO_SNRNA_METABOLIC_PROCESS,GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_2H_ACT_CD4_TCELL_UP,GSE20754_WT_VS_TCF1_KO_MEMORY_CD8_TCELL_UP
743,GSE27291_0H_VS_7D_STIM_GAMMADELTA_TCELL_UP,GSE2770_TGFB_AND_IL4_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_2H_UP,GSE39152_BRAIN_VS_SPLEEN_CD103_NEG_MEMORY_CD8_TCELL_UP
744,GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP,GSE27786_LIN_NEG_VS_NKCELL_UP,GSE45365_WT_VS_IFNAR_KO_CD8A_DC_UP
745,GSE41978_WT_VS_ID2_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP,GO_O_GLYCAN_PROCESSING,GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_BCELL_UP
746,GO_NEGATIVE_REGULATION_OF_HORMONE_SECRETION,GSE6674_ANTI_IGM_VS_PL2_3_STIM_BCELL_UP,GO_NUCLEOTIDE_PHOSPHORYLATION
747,GO_DETECTION_OF_MECHANICAL_STIMULUS,GSE22886_NAIVE_VS_MEMORY_TCELL_UP,GSE43863_NAIVE_VS_MEMORY_TFH_CD4_TCELL_D150_LCMV_UP
748,GSE2770_UNTREATED_VS_TGFB_AND_IL12_TREATED_ACT_CD4_TCELL_6H_UP,GSE360_T_GONDII_VS_B_MALAYI_HIGH_DOSE_MAC_UP,GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP
749,GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_UP,GSE29949_MICROGLIA_VS_DC_BRAIN_UP,GO_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION
750,GO_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS,GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY8_EFFECTOR_CD8_TCELL_UP,GO_MYELOID_LEUKOCYTE_DIFFERENTIATION
751,GSE42021_CD24HI_VS_CD24LOW_TREG_THYMUS_UP,GSE13484_UNSTIM_VS_3H_YF17D_VACCINE_STIM_PBMC_UP,GSE17721_POLYIC_VS_CPG_6H_BMDC_UP
752,GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_UP,GSE18893_CTRL_VS_TNF_TREATED_TREG_24H_UP,GO_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY
753,GO_RESPONSE_TO_FATTY_ACID,GSE19888_ADENOSINE_A3R_INH_VS_ACT_IN_MAST_CELL_UP,GO_MEMBRANE_DOCKING
754,GSE27786_LSK_VS_ERYTHROBLAST_UP,GSE14308_TH1_VS_INDUCED_TREG_UP,GSE22886_TH1_VS_TH2_48H_ACT_UP
755,GSE37534_UNTREATED_VS_ROSIGLITAZONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP,GO_SOMITE_DEVELOPMENT,GSE39556_CD8A_DC_VS_NK_CELL_UP
756,GO_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION,GO_THIOESTER_BIOSYNTHETIC_PROCESS,GSE22432_CDC_VS_COMMON_DC_PROGENITOR_UP
757,GSE25088_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP,GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP,GSE1925_CTRL_VS_24H_IFNG_STIM_MACROPHAGE_UP
758,GSE1460_DP_THYMOCYTE_VS_NAIVE_CD4_TCELL_ADULT_BLOOD_UP,GO_ENSHEATHMENT_OF_NEURONS,GSE41867_NAIVE_VS_DAY30_LCMV_CLONE13_EXHAUSTED_CD8_TCELL_UP
759,GSE17721_PAM3CSK4_VS_GADIQUIMOD_4H_BMDC_UP,GO_RESPONSE_TO_ACTIVITY,GSE17721_CTRL_VS_CPG_1H_BMDC_UP
760,GSE27786_LIN_NEG_VS_MONO_MAC_UP,GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY,GSE44732_UNSTIM_VS_IL27_STIM_IMATURE_DC_UP
761,GO_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,GSE45365_BCELL_VS_CD8_TCELL_UP,GSE22886_DAY1_VS_DAY7_MONOCYTE_IN_CULTURE_UP
762,GSE7460_WT_VS_FOXP3_HET_ACT_WITH_TGFB_TCONV_UP,GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_UP,GSE411_100MIN_VS_400MIN_IL6_STIM_SOCS3_KO_MACROPHAGE_UP
763,GSE27786_LIN_NEG_VS_CD4_TCELL_UP,GSE36392_TYPE_2_MYELOID_VS_EOSINOPHIL_IL25_TREATED_LUNG_UP,GO_AEROBIC_RESPIRATION
764,GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP,GSE4984_GALECTIN1_VS_VEHICLE_CTRL_TREATED_DC_UP,GSE43955_1H_VS_42H_ACT_CD4_TCELL_WITH_TGFB_IL6_UP
765,GO_ACTION_POTENTIAL,GSE8685_IL2_ACT_IL2_STARVED_VS_IL15_ACT_IL2_STARVED_CD4_TCELL_UP,GSE17721_CTRL_VS_PAM3CSK4_4H_BMDC_UP
766,GSE23695_CD57_POS_VS_NEG_NK_CELL_UP,GSE35435_RESTING_VS_IL4_TREATED_MACROPHAGE_UP,GSE2706_UNSTIM_VS_8H_R848_DC_UP
767,GSE15324_ELF4_KO_VS_WT_ACTIVATED_CD8_TCELL_UP,GO_CANONICAL_WNT_SIGNALING_PATHWAY,GO_REGULATION_OF_CELL_JUNCTION_ASSEMBLY
768,GO_NEGATIVE_REGULATION_OF_CHEMOTAXIS,GSE3982_EOSINOPHIL_VS_DC_UP,GSE1791_CTRL_VS_NEUROMEDINU_IN_T_CELL_LINE_12H_UP
769,GSE19941_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_NFKBP50_KO_MACROPHAGE_UP,GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP,GSE17721_LPS_VS_CPG_2H_BMDC_UP
770,GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_UP,GSE12845_IGD_NEG_BLOOD_VS_PRE_GC_TONSIL_BCELL_UP,GSE11961_FOLLICULAR_BCELL_VS_MEMORY_BCELL_DAY7_UP
771,GSE34205_HEALTHY_VS_RSV_INF_INFANT_PBMC_UP,GSE33374_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP,GSE5589_LPS_VS_LPS_AND_IL6_STIM_IL6_KO_MACROPHAGE_45MIN_UP
772,GSE22025_UNTREATED_VS_TGFB1_AND_PROGESTERONE_TREATED_CD4_TCELL_UP,GSE26023_PHD3_KO_VS_WT_NEUTROPHIL_HYPOXIA_UP,GSE42021_CD24INT_VS_CD24LOW_TREG_THYMUS_UP
773,GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,GO_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY,GO_GLYCOSPHINGOLIPID_METABOLIC_PROCESS
774,GSE360_LOW_DOSE_B_MALAYI_VS_M_TUBERCULOSIS_MAC_UP,GSE29614_CTRL_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP,GSE16522_MEMORY_VS_NAIVE_ANTI_CD3CD28_STIM_CD8_TCELL_UP
775,GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP,GSE9988_ANTI_TREM1_AND_LPS_VS_CTRL_TREATED_MONOCYTES_UP,GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_6H_UP
776,GSE24634_NAIVE_CD4_TCELL_VS_DAY10_IL4_CONV_TREG_UP,GO_VISUAL_BEHAVIOR,GO_POSITIVE_REGULATION_OF_CELL_SUBSTRATE_ADHESION
777,GSE14026_TH1_VS_TH17_UP,GSE2706_R848_VS_LPS_8H_STIM_DC_UP,GSE26030_UNSTIM_VS_RESTIM_TH1_DAY5_POST_POLARIZATION_UP
778,GSE3982_CTRL_VS_LPS_4H_MAC_UP,GO_INNER_EAR_MORPHOGENESIS,GSE17721_CTRL_VS_CPG_8H_BMDC_UP
